Proprietary,Default Copyright.
Other,Use for whenever the work falls under another license.
CC-BY-4.0,"Allows reuse, commercial and derivatives, as long as the original author is credited."
CC-BY-SA-4.0,"Allows reuse, commercial and derivatives, as long as the original author is credited and the derivatives are also licensed like this."
CC-BY-SA-NC-4.0,"Allows reuse and derivatives, as long as the original author is credited and the derivatives are also licensed like this, and no money is made off the work."
CC-0,Creative Commons Public Domain Dedication: Waive all rights on the work.
