Title,DC content rating system
E,Everyone - Appropriate for readers of all ages. May contain cartoon violence and/or some comic mischief.
T,"Teen - Appropriate for readers age 12 and older. May contain mild violence, language and/or suggestive themes."
T+,"Teen Plus - Appropriate for readers age 16 and older. May contain moderate violence, mild profanity, graphic imagery and/or suggestive themes."
M,"Mature - Appropriate for readers age 18 and older. May contain intense violence, extensive profanity, nudity, sexual themes and other content suitable only for older readers."
